TICKER,CIK
AAPL,00000320193
ABBV,1551152
ABT,1800
ACN,1467373
ADBE,796343
ADI,6281
ADM,7084
ADP,8670
AFL,4977
AMAT,6951
AMD,2488
AMGN,318154
AMT,1053507
AMZN,1018724
AOS,91142
APD,2969
AVB,915912
AVGO,1730168
AXP,4962
BA,12927
BAC,70858
BAM,1001085
BAX,10456
BEN,38777
BDX,10795
BEP,1533232
BF-B,14693
BIP,1406234
BKNG,1075531
BLK,1364742
BMY,14272
BRK-B,1067983
BX,1393818
BXMT,1061630
C,831001
CAH,721371
CAT,18230
CB,896159
CCI,1051470
CHD,313927
CHRW,1043277
CINF,20286
CL,21665
CLX,21076
CMCSA,1166691
CMI,26172
COST,909832
CPB,16732
CSCO,858877
CTAS,723254
CVS,64803
CVX,93410
D,715957
DE,315189
DHR,313616
DIS,1744489
DOV,29905
DOW,1751788
DPZ,1286681
DUK,1326160
ECL,31462
ED,1047862
EMR,32604
EPD,1061219
FDX,1048911
FRT,34903
GD,40533
GE,40545
GILD,882095
GIS,40704
GOOG,1652044
GPC,40987
GS,886982
GWW,277135
HAS,46080
HD,354950
HON,773840
HRL,48465
HSY,47111
IBM,51143
INGR,1046257
INTC,50863
IRM,1020569
ITW,49826
JNJ,200406
JPM,19617
K,55067
KHC,1637459
KMB,55785
KO,21344
KR,56873
KVUE,
LEG,58492
LIN,1707925
LLY,59478
LMT,936468
LOW,60667
MA,1141391
MAA,912595
MCD,63908
MDLZ,1103982
MDT,1613103
META,1326801
MKC,63754
MMM,66740
MO,764180
MRK,310158
MSFT,789019
MU,723125
NKE,320187
NEE,753308
NFLX,1065280
NNN,751364
NOC,1133421
NUE,73309
NVDA,1045810
O,726728
OHI,888491
ORCL,1341439
PANW,1327567
PEP,77476
PFE,78003
PG,80424
PLD,1045609
PM,1413329
PPG,79879
PSA,1393311
PSX,1534701
QCOM,804328
QSR,1618756
ROL,84839
RTX,101829
SBUX,829224
SCHW,316709
SJM,91419
SNA,91440
SO,92122
SOLV,
SPG,1063761
SWK,93556
SYK,310764
SYY,96021
T,732717
TGT,27419
TMO,97745
TROW,1113169
TRV,86312
TSLA,1318605
TSN,100493
TXN,97476
UBER,1543151
UNH,731766
UNP,100885
UPS,1090727
V,1403161
VFC,103379
VICI,1705696
VTR,740260
VZ,732712
WBA,1618921
WBD,1437107
WELL,766704
WFC,72971
WM,823768
WMT,104169
WPC,1025378
WSO,105016
XOM,34088
ZTS,1555280
